,title,url,phone
0,"671 Rue Jean-Nil, Trois-Rivières (St-Louis-De-France) for sale",https://duproprio.com/en/mauricie/trois-rivieres-st-louis-de-france/bungalow-for-sale/hab-671-rue-jean-nil-1014152,tel:819-372-0998
1,"Overall View - 1-2-197 RUE LAURENT, Granby for sale",https://duproprio.com/en/monteregie-rive-sud-montreal/granby/duplex-for-sale/hab-1-2-197-rue-laurent-1014740,tel:450-775-8554
2,"1142 RANG SAINTE-CROIX, St-Raymond for sale",https://duproprio.com/en/portneuf/st-raymond/home-for-sale/hab-1142-rang-sainte-croix-1014359,tel:581-992-5177
3,"854 RUE DE BEAUPORT, Granby for sale",https://duproprio.com/en/monteregie-rive-sud-montreal/granby/home-for-sale/hab-854-rue-de-beauport-1013569,tel:450-777-1820
4,"124 rue René-Tremblay, Matane for sale",https://duproprio.com/en/bas-saint-laurent/matane/bungalow-for-sale/hab-124-rue-rene-tremblay-1013760,tel:418-562-1282
5,"3210 chemin du Lac-aux-Sleighs, Trois-Rives for sale",https://duproprio.com/en/mauricie/trois-rives/cottage-for-sale/hab-3210-chemin-du-lac-aux-sleighs-1015318,tel:514-277-2355
6,"4867 RUE GONCOURT, Sherbrooke (Rock Forest) for sale",https://duproprio.com/en/estrie/sherbrooke-rock-forest/home-for-sale/hab-4867-rue-goncourt-1014192,tel:819-347-8484
7,"Rue des Monts- Par Groupe Lobato, St-Mathieu-De-Beloeil for sale",https://duproprio.com/en/monteregie-rive-sud-montreal/st-mathieu-de-beloeil/semi-detached-for-sale/hab-rue-des-monts-par-groupe-lobat-1015370,tel:514-250-9014
8,"Summer Front - 899 RUE DES CHENAUX, St-Jean-Chrysostome for sale",https://duproprio.com/en/quebec-rive-sud/st-jean-chrysostome/home-for-sale/hab-899-rue-des-chenaux-1014374,tel:418-832-9684
9,"201-1724 Avenue Victoria, Longueuil (Greenfield Park) for sale",https://duproprio.com/en/monteregie-rive-sud-montreal/longueuil-greenfield-park/condo-for-sale/hab-201-1724-avenue-victoria-1013999,tel:438-855-4884
10,"16 rue des Rocheuses, Chelsea for sale",https://duproprio.com/en/outaouais/chelsea/home-for-sale/hab-16-rue-des-rocheuses-1015204,tel:819-303-1382
11,"20e Avenue - À CONSTRUIRE - Par Construction DEKKO, Fabreville for sale",https://duproprio.com/en/laval/fabreville/semi-detached-for-sale/hab-20e-avenue-a-construire-par-co-1015337,tel:514-708-7313
12,"115 rue Larivière, St-Colomban for sale",https://duproprio.com/en/laurentides/st-colomban/bungalow-for-sale/hab-115-rue-lariviere-1014499,tel:450-275-1456
13,"1240 115E RUE, Shawinigan (Shawinigan-Sud) for sale",https://duproprio.com/en/mauricie/shawinigan-shawinigan-sud/bungalow-for-sale/hab-1240-115e-rue-1012723,tel:818-690-3453
14,"161 place Dubois, Trois-Rivières (Pointe-Du-Lac) for sale",https://duproprio.com/en/mauricie/trois-rivieres-pointe-du-lac/bungalow-for-sale/hab-161-place-dubois-1014491,tel:450-743-8891
